EgsNom;ContractId;ValuationId;ScenarioId;Key;Actual;Expected;AbsoluteDifference;RelativeDifference;Comment
1100LO0000000000182987--SWP;182987;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;StructurePVBPPV;68716,8970478758;68716,8970478759;0,0000000001;0,0000000000000014552461519083;
1100LO0000000000182987--SWP;182987;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-25743706,8750492;-25743706,8750491;0,0000001;-0,0000000000000038844444774548;
1100LO0000000000183191--SWP;183191;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;FundingPVBPPV;34420,5298933862;34420,5298933863;0,0000000001;0,0000000000000029052428974725;
1100LO0000000000183191--SWP;183191;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-25161,1070357345;-25161,1068215624;0,0002141721;-0,0000000085120300826122976629;
1100LO0000000000183191--SWP;183191;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-12227568,6935252;-12227568,6933111;0,0002141;-0,0000000000175096133472037859;
1100LO0000000000183191--SWP;183191;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-12227568,6935252;-12227568,6933111;0,0002141;-0,0000000000175096133472037859;
1100LO0000000000183191--SWP;183191;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;StructurePVBPPV;34514,055834687;34514,0558346871;0,0000000001;0,0000000000000028973702910771;
1100LO0000000000183311--SWP;183311;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-3155160,32054705;-3155160,32054703;0,00000002;-0,0000000000000063388221098484;
1100LO0000000000183311--SWP;183311;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-3155160,32054705;-3155160,32054703;0,00000002;-0,0000000000000063388221098484;
1100LO0000000000183311--SWP;183311;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-3155160,32054705;-3155160,32054703;0,00000002;-0,0000000000000063388221098484;
1100LO0000000000183407--SWP;183407;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-6161918,0713866;-6161918,07138661;-0,00000001;0,0000000000000016228713014598;
1100LO0000000000183407--SWP;183407;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-6161918,0713866;-6161918,07138661;-0,00000001;0,0000000000000016228713014598;
1100LO0000000000183407--SWP;183407;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-6161918,0713866;-6161918,07138661;-0,00000001;0,0000000000000016228713014598;
1100LO0000000000183990--SWP;183990;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-5965086,98031968;-5965086,9803197;-0,00000002;0,0000000000000033528429788174;
1100LO0000000000183990--SWP;183990;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-5965086,98031968;-5965086,9803197;-0,00000002;0,0000000000000033528429788174;
1100LO0000000000183990--SWP;183990;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-5965086,98031968;-5965086,9803197;-0,00000002;0,0000000000000033528429788174;
1100LO0000000000184081--SWP;184081;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-297649,792991997;-297649,793548307;-0,000556310;0,0000000018690085230966637199;
1100LO0000000000184081--SWP;184081;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-10737018,2128522;-10737018,2134084;-0,0005562;0,0000000000518020915093754018;
1100LO0000000000184081--SWP;184081;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-10737018,2128522;-10737018,2134084;-0,0005562;0,0000000000518020915093754018;
1100LO0000000000184081--SWP;184081;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-10439368,4198602;-10439368,4198601;0,0000001;-0,0000000000000095791235617048;
1100LO0000000000184144--SWP;184144;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;4559,9269779635;4559,9269786064;0,0000006429;0,0000000001409890998489463316;
1100LO0000000000184144--SWP;184144;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-3144331,22776761;-3144331,22776698;0,00000063;-0,0000000000002003605709336427;
1100LO0000000000184144--SWP;184144;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-3144331,22776761;-3144331,22776698;0,00000063;-0,0000000000002003605709336427;
1100LO0000000000184144--SWP;184144;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-3148891,15474558;-3148891,15474559;-0,00000001;0,0000000000000031757210740452;
1100LO0000000000184209--SWP;184209;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;202384,474810937;202384,474644879;-0,000166058;-0,0000000008205076014606734467;
1100LO0000000000184209--SWP;184209;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-21691770,7507194;-21691770,7508856;-0,0001662;0,0000000000076618917796043938;
1100LO0000000000184209--SWP;184209;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-21691770,7507194;-21691770,7508856;-0,0001662;0,0000000000076618917796043938;
1100LO0000000000184209--SWP;184209;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-21894155,2255303;-21894155,2255305;-0,0000002;0,0000000000000091348580449811;
1100LO0000000000184235--SWP;184235;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;5867,9635493523;5867,963596157;0,0000468047;0,0000000079763106240096287563;
1100LO0000000000184235--SWP;184235;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-2493543,23465964;-2493543,23461284;0,00004680;-0,0000000000187684734515493723;
1100LO0000000000184235--SWP;184235;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-2493543,23465964;-2493543,23461284;0,00004680;-0,0000000000187684734515493723;
